user_id,age_group,gender,profession,hours_spending,musical_aspect,listened_songs,song_id
10288,25 - 34,Male,student,0 - 1,The singer's voice,nadee ganga,114
10289,18 - 24,Male,Student,0 - 1,The singer's voice,Soduru siththam,194
10290,18 - 24,Female,Surveyor,0 - 1,Music,Kawiya,76
10291,25 - 34,Female,Beautician,0 - 1,The singer's voice,Hiru mal,52
10292,25 - 34,Female,Beautician,0 - 1,The singer's voice,Sepalikawo,291
10293,25 - 34,Female,Beautician,0 - 1,The singer's voice,Mathakaida ada wage,292
10294,25 - 34,Female,Beautician,0 - 1,The singer's voice,Nura wasanthe,127
10295,25 - 34,Female,Beautician,0 - 1,The singer's voice,Mihirawa awa,110
10296,18 - 24,Male,University student,0 - 1,It varies,Niwaduwatath man dan sankawen,126
10297,18 - 24,Male,University student,0 - 1,It varies,Gomara mala,293
10298,18 - 24,Male,University student,0 - 1,It varies,Nirayase,125
10299,18 - 24,Male,University student,0 - 1,It varies,Baila Gamuda,21
10300,18 - 24,Male,University student,0 - 1,It varies,Billa,22
10301,18 - 24,Male,University student,0 - 1,It varies,Chain,23
10302,18 - 24,Male,Business consultant,more than 5,The instrument being used,Baila gamuda remix karala,21
10303,18 - 24,Male,Student,0 - 1,Music,Pandama,140
10304,18 - 24,Male,Student,0 - 1,Music,Sandanari,175
10305,18 - 24,Male,Student,0 - 1,Music,Sandaganawa,174
10306,18 - 24,Male,Student,0 - 1,Music,Prathihari,227
10307,18 - 24,Male,Student,0 - 1,Music,Piyawuna,252
10308,18 - 24,Male,Student,0 - 1,Music,Ai kale mulu hadinma,282
10309,18 - 24,Female,Student,0 - 1,Music,Hey Kakulee,50
10310,18 - 24,Female,Student,0 - 1,Music,yakkuth pitiyata,219
10311,18 - 24,Female,Student,0 - 1,Music,BnS oba nisa album songs,135
10312,18 - 24,Male,Student,1 - 3,The instrument being used,Malak une ay,93
10313,18 - 24,Male,Student,1 - 3,The instrument being used,chandrayan pidu,26
10314,18 - 24,Male,Student,1 - 3,The instrument being used,oba dutu e mul dine,130
10315,18 - 24,Female,Student,0 - 1,The message of the song,Lu (Numba Nomathi Dihawaka),287
10316,18 - 24,Female,Student,1 - 3,Music,Maraya[2018],97
10317,18 - 24,Female,Student,1 - 3,Music,Ae,311
10318,25 - 34,Female,Lecturer,1 - 3,The singer's voice,Oba Heenayak Wage Hadu Wessak Aran,132
10319,25 - 34,Female,Lecturer,1 - 3,The singer's voice,Golu Daruwek Una Kiya,45
10320,18 - 24,Female,Student,0 - 1,The message of the song,Pandama,140
10321,18 - 24,Female,Student,0 - 1,The message of the song,Hitha Hiriwetunado,55
10322,18 - 24,Female,Student,0 - 1,The message of the song,Iduwari,294
10323,25 - 34,Female,Engineer,0 - 1,Music,Kuweni,79
10324,25 - 34,Female,Engineer,0 - 1,Music,galana Ganga,234
10325,25 - 34,Female,Engineer,0 - 1,Music,sandaganawa,174
10326,25 - 34,Female,Engineer,0 - 1,Music,Pandama,140
10327,25 - 34,Female,Engineer,0 - 1,Music,nadagam geeya,113
10328,25 - 34,Female,Engineer,0 - 1,Music,rahath himiwarun,235
10329,25 - 34,Female,Engineer,0 - 1,Music,mahamaya,229
10330,25 - 34,Female,Engineer,0 - 1,Music,hawasaka ma,49
10331,25 - 34,Female,Engineer,0 - 1,Music,alawanthakam,295
10332,25 - 34,Female,Engineer,0 - 1,Music,Mal Mitak Thiyanna,91
10333,25 - 34,Female,Engineer,0 - 1,Music,gamen liyumak,43
10334,25 - 34,Female,Engineer,0 - 1,Music,mata rawana,277
10335,25 - 34,Male,Engineer,1 - 3,The message of the song,Kuweni,79
10336,18 - 24,Female,Student,0 - 1,The instrument being used,Sihina Lowe Maya Wethire,187
10337,18 - 24,Male,medical student,0 - 1,Music,athsana,264
10338,18 - 24,Male,medical student,0 - 1,Music,Sanda Latha Payala,171
10339,18 - 24,Male,Student,0 - 1,The instrument being used,Tiken tika,207
10340,18 - 24,Male,Student,0 - 1,The instrument being used,Dasin paa,31
10341,25 - 34,Female,Associate Software Engineer,more than 5,Music,Sada Eliya Gala Ena,166
10342,25 - 34,Female,Associate Software Engineer,more than 5,Music,awathan hade,284
10343,25 - 34,Female,Associate Software Engineer,more than 5,Music,Diwasaravi,37
10344,18 - 24,Female,Student,1 - 3,Music,Kuweniye,79
10345,18 - 24,Female,Student,0 - 1,The singer's voice,Sandaganawa,174
10346,18 - 24,Female,Student,0 - 1,The singer's voice,Samawak na,170
10347,18 - 24,Female,Student,0 - 1,The singer's voice,Runawiye,165
10348,18 - 24,Female,Student,0 - 1,All,Kuweniye,79
10349,18 - 24,Female,Student,0 - 1,All,Meeduma Uthurana,107
10350,18 - 24,Female,Student,0 - 1,All,Denuwan piya,254
10351,18 - 24,Female,Student,0 - 1,All,Hiru Mal,52
10352,18 - 24,Female,Student,0 - 1,All,Mage ne,296
10353,18 - 24,Female,Student,0 - 1,All,Soya Awa,196
10354,18 - 24,Female,Student,0 - 1,All,Me mal yaye ,246
10355,18 - 24,Female,Student,0 - 1,All,Aatha dan wiman,1
10356,18 - 24,Female,Student,0 - 1,All,kaulu piyan path,73
10357,18 - 24,Female,Student,0 - 1,All,Wasanthaye Pipidena Mal,310
10358,18 - 24,Female,Student,0 - 1,All,Walithara Athare Himihita Basina,213
10359,18 - 24,Male,Student,1 - 3,The instrument being used,Dewiyo wadi,35
